year,month,state,sectorName,customers,price,revenue,sales
2001,1,WY,all sectors,,4.31,48.1284,1116.17208
2001,1,WY,commercial,,5.13,12.67978,247.08691
2001,1,WY,industrial,,3.26,19.60858,602.30484
2001,1,WY,other,,4.75,0.76868,16.17442
2001,1,WY,residential,,6.01,15.07136,250.60591
2001,1,MA,all sectors,,10.73,1139.8952,10622.88375
2001,1,SC,other,,6.57,5.28332,80.41336
2001,1,SC,residential,,7.36,225.81673,3066.25911
2001,1,SD,all sectors,,5.85,46.98518,803.24177
2001,1,SD,commercial,,5.95,15.92044,267.66283
2001,1,SD,industrial,,4.31,5.16366,119.68236
2001,1,SD,other,,3.47,1.38114,39.74549
2001,1,SD,residential,,6.52,24.51994,376.15108
2001,1,TN,all sectors,,5.59,539.11548,9648.54559
2001,1,TN,commercial,,6.16,122.55831,1990.33357
2001,1,TN,industrial,,4.29,125.91353,2937.15583
2001,1,TN,other,,8.51,7.81728,91.80923
2001,1,TN,residential,,6.11,282.82636,4629.24696
2001,1,TX,all sectors,,6.9,1903.81241,27583.76887
2001,1,TX,commercial,,7.65,537.65515,7026.81769
2001,1,TX,industrial,,5.12,407.75797,7969.00543
2001,1,TX,other,,6.97,80.10439,1149.37586
2001,1,TX,residential,,7.68,878.2949,11438.5699
2001,1,UT,all sectors,,4.67,95.25759,2039.95489
2001,1,UT,commercial,,4.88,32.43397,664.16908
2001,1,UT,industrial,,3.31,23.92237,723.16958
2001,1,UT,other,,4.15,2.84782,68.59977
2001,1,UT,residential,,6.17,36.05342,584.01646
2001,1,VT,all sectors,,10.95,57.13107,521.78491
2001,1,VT,commercial,,11.24,18.9519,168.65645
2001,1,VT,industrial,,8.24,11.6047,140.85795
2001,1,VT,other,,15.33,0.56158,3.66406
2001,1,VT,residential,,12.47,26.01289,208.60644
2001,1,VA,all sectors,,5.86,561.38052,9575.83865
2001,1,VA,commercial,,5.56,141.34424,2542.30495
2001,1,VA,industrial,,4.23,68.62561,1622.86999
2001,1,VA,other,,4.75,42.58045,896.63378
2001,1,VA,residential,,6.84,308.83021,4514.02993
2001,1,WA,all sectors,,4.79,440.50524,9204.63376
2001,1,WA,commercial,,4.95,109.69319,2215.59752
2001,1,WA,industrial,,4.46,119.88695,2688.58893
2001,1,WA,other,,4.31,14.31519,332.31713
2001,1,WA,residential,,4.95,196.60991,3968.13018
2001,1,WV,all sectors,,4.98,148.07544,2973.23837
2001,1,WV,commercial,,5.26,34.39082,653.58717
2001,1,WV,industrial,,3.58,36.11658,1008.01762
2001,1,WV,other,,9.16,0.66458,7.25289
2001,1,WV,residential,,5.9,76.90346,1304.38068
2001,1,WI,all sectors,,5.9,335.56099,5689.51118
2001,1,WI,commercial,,6.08,93.90135,1545.63479
2001,1,WI,industrial,,4.22,87.88411,2083.55992
2001,1,WI,other,,7.42,4.83051,65.0638
2001,1,WI,residential,,7.46,148.94502,1995.25268
2001,1,AL,all sectors,,5.54,407.61261,7362.47302
2001,1,AL,commercial,,6.44,98.15381,1524.63177
2001,1,AL,industrial,,3.94,99.08881,2515.14632
2001,1,AL,other,,6.6,3.91073,59.29239
2001,1,LA,other,,8.62,18.24252,211.58218
2001,1,LA,residential,,7.97,195.62682,2453.04974
2001,1,ME,all sectors,,11.15,119.42813,1071.48042
2001,1,ME,commercial,,10.33,41.90097,405.51902
2001,1,ME,industrial,,9.54,26.14207,273.94675
2001,1,ME,other,,25.23,1.20117,4.7607
2001,1,ME,residential,,12.96,50.18392,387.25395
2001,1,MD,all sectors,,5.93,350.82797,5921.09634
2001,1,MD,commercial,,5.35,120.58407,2253.4837
2001,1,MD,industrial,,4.47,36.1268,808.87806
2001,1,MD,other,,8.76,6.68282,76.30771
2001,1,MD,residential,,6.74,187.43428,2782.42686
2001,1,MA,all sectors,,10.9,507.58804,4658.51429
2001,1,MA,commercial,,10.53,214.05919,2032.17703
2001,1,MA,industrial,,9.32,70.20187,753.5532
2001,1,MA,other,,14.1,8.17752,58.00813
2001,1,MA,residential,,11.86,215.14946,1814.77594
2001,1,MI,all sectors,,7.02,621.80929,8860.09969
2001,1,MI,commercial,,7.48,217.91513,2911.47399
2001,1,MI,industrial,,5.19,139.34083,2685.53772
2001,1,MI,other,,9.24,7.87051,85.13367
2001,1,MI,residential,,8.08,256.68281,3177.95431
2001,1,MN,all sectors,,5.54,295.24614,5328.80942
2001,1,MN,commercial,,4.98,108.75701,2185.51252
2001,1,MN,industrial,,4.32,54.92374,1269.95668
2001,1,MN,other,,6.79,4.26187,62.78818
2001,1,MN,residential,,7.03,127.30352,1810.55204
2001,1,MS,all sectors,,5.93,234.07006,3947.3157
2001,1,MS,commercial,,6.85,61.14577,892.9499
2001,1,MS,industrial,,4.39,53.99172,1229.91726
2001,1,MS,other,,8.25,5.45802,66.1706
2001,1,MA,commercial,,10.3,440.09199,4273.55712
2001,1,MA,industrial,,9.04,166.57391,1843.11145
2001,1,MA,other,,12.89,17.2376,133.68661
2001,1,MA,residential,,11.8,515.99171,4372.52858
2001,1,PA,all sectors,,9.5,3016.86287,31762.59213
2001,1,MS,residential,,6.45,113.47455,1758.27795
2001,1,MO,all sectors,,5.26,365.03846,6937.6713
2001,1,MO,commercial,,5.17,112.49894,2176.82483
2001,1,MO,industrial,,3.99,56.66025,1418.4993
2001,1,MO,other,,5.6,6.08889,108.67626
2001,1,MO,residential,,5.87,189.79038,3233.67091
2001,1,MT,all sectors,,5.35,62.82552,1174.05215
2001,1,MT,commercial,,5.89,20.1867,342.45704
2001,1,MT,industrial,,3.4,12.33684,363.36219
2001,1,MT,other,,6.93,1.88143,27.14497
2001,1,MT,residential,,6.44,28.42055,441.08794
2001,1,NE,all sectors,,4.77,101.79898,2133.84281
2001,1,NE,commercial,,4.86,29.3603,604.29687
2001,1,NE,industrial,,3.69,20.79649,563.30961
2001,1,NE,other,,5.96,6.74802,113.24245
2001,1,NE,residential,,5.26,44.89418,852.99387
2001,1,NV,all sectors,,6.44,137.57941,2137.54432
2001,1,PA,commercial,,10.31,1218.74695,11818.68469
2001,1,PA,industrial,,6.16,425.01065,6896.27887
